gameID,player1,player2,moves,endState
110,RandomAgent,SmartAgent,"[3, 1, 1, 5, 5, 7, 6, 2, 7, 5, 5, 4, 6, 4, 6, 6, 1, 2, 3, 1, 1, 4, 5, 4]",loss
111,RandomAgent,SmartAgent,"[1, 1, 3, 3, 5, 7, 3, 4, 6, 7, 7, 4, 3, 7, 4, 5, 5, 6]",loss
112,RandomAgent,SmartAgent,"[4, 7, 6, 7, 3, 5, 2, 1, 2, 7, 2, 2, 1, 2, 3, 4, 7, 3]",loss
113,RandomAgent,SmartAgent,"[1, 2, 6, 7, 5, 1, 5, 3, 1, 6, 1, 5, 3, 6, 2, 7, 7, 7, 5, 5, 2, 4, 3, 4, 2, 6]",loss
114,RandomAgent,SmartAgent,"[5, 3, 4, 5, 3, 6, 2, 6, 2, 7, 4, 5, 7, 1, 4, 4]",loss
115,RandomAgent,SmartAgent,"[4, 4, 5, 5, 3, 2, 5, 6, 2, 1, 2, 6, 1, 3]",loss
116,RandomAgent,SmartAgent,"[5, 7, 7, 5, 3, 2, 3, 2, 1, 5, 1, 2, 4, 2]",loss
117,RandomAgent,SmartAgent,"[1, 4, 6, 6, 3, 6, 7, 3, 6, 3, 7, 3, 3, 3, 7, 2, 6, 5, 4, 7, 5, 5, 1, 4]",loss
118,RandomAgent,SmartAgent,"[3, 1, 7, 4, 1, 6, 4, 3, 3, 5, 5, 2, 6, 3, 5, 1, 7]",win
119,RandomAgent,SmartAgent,"[7, 5, 4, 1, 7, 3, 2, 4, 5, 5, 2, 3, 3, 5, 6, 1, 7, 1, 3, 1]",loss
120,RandomAgent,SmartAgent,"[6, 6, 1, 5, 7, 5, 7, 7, 6, 4, 3, 1, 4, 4, 7, 2, 2, 1, 3, 2, 5, 3]",loss
121,RandomAgent,SmartAgent,"[6, 1, 3, 1, 1, 3, 7, 1, 5, 4, 3, 7, 4, 6, 6, 1, 1, 2, 5, 6, 3, 4, 6, 7, 3, 3, 2, 2]",loss
122,RandomAgent,SmartAgent,"[2, 5, 5, 2, 3, 4, 4, 7, 7, 6]",loss
123,RandomAgent,SmartAgent,"[6, 1, 1, 2, 7, 6, 6, 5, 5, 3, 3, 4]",loss
124,RandomAgent,SmartAgent,"[7, 6, 2, 4, 6, 2, 6, 1, 7, 1, 5, 1, 3, 1]",loss
125,RandomAgent,SmartAgent,"[4, 4, 7, 1, 3, 3, 6, 5, 6, 4, 7, 2, 6, 6, 2, 6, 2, 3, 1, 2]",loss
126,RandomAgent,minMaxAgent,"[2, 6, 7, 2, 7, 4, 7, 7, 7, 1, 5, 3, 5, 1, 3, 4, 2, 2, 3, 6, 5, 4, 1, 4]",loss
127,RandomAgent,minMaxAgent,"[7, 5, 3, 5, 1, 4, 2, 3, 3, 2, 2, 4]",loss
128,RandomAgent,minMaxAgent,"[5, 7, 6, 2, 2, 3, 4, 3, 2, 6, 6, 5, 4, 1, 6, 1, 5, 4, 5, 2, 3, 5, 4, 3, 3, 2]",loss
129,RandomAgent,minMaxAgent,"[4, 3, 6, 1, 3, 2, 2, 3, 2, 4, 4, 6, 3, 4, 2, 2, 3, 5, 2, 5, 5, 4, 1, 1, 1]",win
130,RandomAgent,minMaxAgent,"[6, 1, 2, 7, 7, 7, 7, 6, 3, 6, 3, 4, 2, 4, 6, 1, 7, 4, 5, 4]",loss
131,RandomAgent,minMaxAgent,"[5, 1, 6, 6, 5, 4, 2, 2, 2, 1, 2, 7, 5, 5, 7, 3, 1, 4, 7, 3]",loss
132,RandomAgent,minMaxAgent,"[7, 4, 6, 1, 7, 3, 4, 2]",loss
133,RandomAgent,minMaxAgent,"[6, 5, 1, 2, 7, 7, 3, 1, 3, 3, 5, 7, 2, 3, 6, 1, 7, 4, 2, 4, 2, 2, 3, 5, 6, 6, 5, 7]",loss
134,RandomAgent,minMaxAgent,"[4, 1, 7, 2, 5, 6, 7, 1, 2, 2, 6, 7, 5, 4, 6, 7, 2, 3, 1, 4, 2, 4, 2, 4]",loss
135,RandomAgent,minMaxAgent,"[2, 7, 1, 4, 6, 1, 1, 6, 4, 5, 3, 3, 7, 6, 7, 5, 3, 7]",loss
136,RandomAgent,minMaxAgent,"[1, 3, 6, 6, 4, 3, 4, 6, 6, 5, 3, 4, 1, 6, 1, 1, 2, 5, 5, 5]",loss
137,RandomAgent,minMaxAgent,"[3, 6, 3, 3, 3, 7, 6, 5, 6, 4]",loss
138,RandomAgent,minMaxAgent,"[3, 1, 3, 3, 4, 7, 6, 5, 5, 2, 7, 5, 2, 4, 2, 2]",loss
139,RandomAgent,minMaxAgent,"[3, 4, 4, 3, 4, 6, 2, 6, 6, 3, 2, 1, 5, 2, 6, 6, 3, 1, 1, 1]",loss
140,RandomAgent,minMaxAgent,"[7, 6, 2, 4, 2, 4, 6, 7, 1, 2, 1, 4, 4, 5, 3, 5, 5]",win
141,RandomAgent,minMaxAgent,"[2, 2, 1, 2, 6, 4, 1, 7, 6, 7, 3, 3, 1, 1]",loss
142,RandomAgent,minMaxAgent,"[3, 6, 6, 4, 6, 3, 3, 3, 1, 1, 5, 6, 6, 3, 6, 1, 2, 3, 5, 7, 7, 4, 1, 2]",loss
143,RandomAgent,minMaxAgent,"[4, 4, 4, 1, 7, 5, 1, 2, 2, 1, 1, 2, 7, 6, 3, 3, 1, 4, 2, 6, 1, 5]",loss
144,RandomAgent,minMaxAgent,"[7, 3, 7, 6, 4, 2, 6, 7, 5, 6, 1, 2, 5, 4, 1, 1, 6, 2, 3, 2]",loss
145,RandomAgent,minMaxAgent,"[5, 3, 3, 5, 6, 1, 6, 7, 2, 4, 3, 2, 4, 3, 6, 6, 2, 2, 2, 4, 3, 3, 1, 2, 4, 5, 5, 6, 7, 4, 5, 6, 4, 5, 7, 7, 7, 7, 1, 1, 1]",draw
146,RandomAgent,minMaxAgent,"[5, 4, 1, 4, 6, 3, 4, 6, 5, 3, 2, 1, 1, 2]",loss
147,RandomAgent,minMaxAgent,"[1, 4, 3, 2, 3, 1, 5, 6, 6, 4, 1, 2, 5, 3, 5, 5, 3, 6, 5, 7, 3, 7, 6, 3, 4, 4, 7, 4]",loss
148,RandomAgent,minMaxAgent,"[2, 6, 2, 1, 7, 5, 6, 1, 7, 1, 6, 1]",loss
149,RandomAgent,minMaxAgent,"[2, 3, 5, 1, 4, 6, 1, 4, 7, 3, 2, 2, 4, 1, 4, 1, 5, 1, 5, 1]",loss
150,RandomAgent,minMaxAgent,"[3, 5, 3, 3, 1, 7, 1, 5, 3, 6, 6, 4]",loss
151,RandomAgent,minMaxAgent,"[1, 3, 5, 2, 7, 3, 1, 1, 3, 1, 1, 3, 1, 5, 3, 5, 6, 4, 7, 6, 2, 2]",loss
152,RandomAgent,minMaxAgent,"[6, 3, 6, 3, 5, 7, 4, 7, 6, 6, 2, 1, 4, 2, 5, 1, 3, 3, 2, 2, 5, 4, 7, 5, 1, 4]",loss
153,RandomAgent,minMaxAgent,"[7, 1, 1, 6, 4, 5, 1, 5, 4, 5, 5, 1, 7, 1, 6, 6, 4, 4, 5, 6, 5, 4, 1, 6, 3, 6]",loss
154,RandomAgent,minMaxAgent,"[1, 1, 6, 2, 2, 2, 1, 3, 6, 7, 5, 6, 4, 3, 6, 3, 3, 2, 4, 2, 1, 2]",loss
155,RandomAgent,minMaxAgent,"[4, 2, 2, 4, 3, 7, 5, 6, 6, 6, 6, 2, 3, 4, 7, 1, 5, 1, 7, 6, 2, 4, 3, 4]",loss
156,RandomAgent,minMaxAgent,"[1, 6, 2, 3, 3, 4, 7, 5]",loss
157,RandomAgent,minMaxAgent,"[4, 3, 5, 5, 1, 5, 1, 6, 2, 6, 1, 1, 2, 7, 3, 4, 6, 6]",loss
158,RandomAgent,minMaxAgent,"[6, 6, 5, 4, 1, 5, 2, 4, 4, 7, 4, 7]",loss
159,RandomAgent,minMaxAgent,"[4, 3, 6, 7, 2, 3, 7, 2, 3, 4, 1, 1]",loss
160,RandomAgent,minMaxAgent,"[4, 6, 3, 6, 2, 1, 2, 5, 5, 5, 4, 3, 2, 2, 4, 4, 7, 4, 4, 2, 2, 5, 5, 1, 6, 7, 1, 3, 1, 3]",loss
161,RandomAgent,minMaxAgent,"[3, 1, 7, 1, 6, 5, 4, 7, 2, 3, 4, 2, 1, 4, 4, 4, 5, 2, 4, 5, 6, 3]",loss
162,RandomAgent,minMaxAgent,"[7, 1, 7, 1, 3, 5, 3, 1, 2, 1]",loss
163,RandomAgent,minMaxAgent,"[4, 1, 4, 4, 5, 5, 1, 2, 2, 6, 3, 3, 7, 1, 7, 6, 6, 5, 7, 5]",loss
164,RandomAgent,minMaxAgent,"[6, 5, 3, 1, 6, 1, 1, 1, 4, 6, 3, 3, 3, 1, 1, 2, 5, 4, 3, 4, 5, 4, 3, 2]",loss
165,RandomAgent,minMaxAgent,"[2, 6, 5, 1, 1, 4, 4, 2, 5, 6, 4, 6, 1, 6]",loss
166,RandomAgent,minMaxAgent,"[1, 1, 2, 6, 2, 3, 5, 1, 2, 2, 7, 7, 5, 3, 4, 1, 4, 1]",loss
167,RandomAgent,minMaxAgent,"[7, 5, 2, 6, 4, 7, 2, 6, 5, 2, 1, 3, 6, 3, 2, 3, 6, 3]",loss
168,RandomAgent,minMaxAgent,"[7, 5, 3, 7, 2, 6, 7, 5, 1, 4, 4, 3, 5, 2, 2, 7, 5, 4, 7, 1, 3, 3]",loss
169,RandomAgent,minMaxAgent,"[3, 7, 2, 1, 6, 6, 4, 5, 2, 1, 1, 3, 2, 2, 6, 1, 6, 5, 1, 4]",loss
170,RandomAgent,minMaxAgent,"[7, 6, 2, 4, 1, 6, 6, 1, 4, 7, 3, 5, 2, 4, 6, 3, 7, 6, 7, 3, 4, 5, 5]",win
171,RandomAgent,minMaxAgent,"[6, 6, 7, 4, 2, 2, 1, 7, 5, 1, 7, 7, 4, 4, 4, 7, 7, 4, 2, 2, 2, 2, 3, 5, 3, 6]",loss
172,RandomAgent,minMaxAgent,"[2, 7, 3, 7, 3, 2, 6, 5, 6, 3, 3, 2, 4, 1, 6, 6, 7, 4, 6, 2]",loss
